sample	scanned_reads	best_panel	best_score	score_margin_vs_next	best_panel_covered_kmers	best_panel_covered_kmers_pct
23P7754	500000	3549481_Covered.2bit	0.0569428	0.0569428	339500	81.867
24P14085	500000	3549481_Covered.2bit	0.0831303	0.0831303	337533	81.3927
24P1826-A	500000	3549481_Covered.2bit	0.0609013	0.0609013	338973	81.7399
24P1826-B	500000	3549481_Covered.2bit	0.0517661	0.0517661	337607	81.4105
24P4000	500000	3549481_Covered.2bit	0.0724726	0.0724726	338627	81.6565
25P167-bio	500000	3528311_Covered.2bit	0.016172	0.016172	182807	44.4339
25P64-bio	500000	3528311_Covered.2bit	0.00840222	0.00840222	130870	31.8099
25P717	500000	3528311_Covered.2bit	0.0386683	0.0386683	313982	76.318
25P805	500000	3528311_Covered.2bit	0.0411528	0.0411528	330073	80.2291
25P99	500000	3528311_Covered.2bit	0.0391652	0.0391652	322133	78.2992
25P9905-A	500000	3549481_Covered.2bit	0.0779537	0.0779537	340140	82.0213
25P9905-B	500000	3549481_Covered.2bit	0.0876979	0.0876979	343751	82.8921
26P2237	500000	3549481_Covered.2bit	0.844397	0.844397	358356	86.4139
26P2343	500000	3549481_Covered.2bit	0.847138	0.847138	352562	85.0168
26P2477	500000	3549481_Covered.2bit	0.861145	0.861145	356504	85.9673
26P2725	500000	3549481_Covered.2bit	0.813642	0.813642	353331	85.2022
26P2881	500000	3549481_Covered.2bit	0.866322	0.866322	351935	84.8656
26P2888	500000	3549481_Covered.2bit	0.831608	0.831608	353894	85.338
26P2892	500000	3549481_Covered.2bit	0.827954	0.827954	357192	86.1332
26P2953	500000	3549481_Covered.2bit	0.79324	0.79324	316598	76.3444
LIC1674-24	500000	HF3.ROI.2bit	50.4571	47.0783	27302	97.3924
LIC1686-24	500000	HF3.ROI.2bit	51.0322	47.5031	27529	98.2021
LIC1711-24	500000	HF3.ROI.2bit	50.7959	47.257	27318	97.4494
LIC1734-24	500000	HF3.ROI.2bit	50.2353	47.0102	27440	97.8846
LIC1736-24	500000	HF3.ROI.2bit	51.0149	47.677	27592	98.4269
LIC1737-24	500000	HF3.ROI.2bit	50.9868	47.6158	27532	98.2128
LIC1738-24	500000	HF3.ROI.2bit	51.4154	48.1097	27215	97.082
LIC1739-24	500000	HF3.ROI.2bit	52.0826	48.7277	27555	98.2949
LIC1740-24	500000	HF3.ROI.2bit	49.9317	46.3741	27507	98.1236
LIC1742-24	500000	HF3.ROI.2bit	49.7386	46.5914	27347	97.5529
LIC1744-24	500000	HF3.ROI.2bit	51.3563	48.0861	27362	97.6064
LIC1745-24	500000	HF3.ROI.2bit	41.6843	39.1845	27098	96.6646
LIC1746-24	500000	HF3.ROI.2bit	49.0811	45.9554	27347	97.5529
LIC1747-24	500000	HF3.ROI.2bit	51.7951	48.3363	27565	98.3305
LIC1748-24	500000	HF3.ROI.2bit	51.4901	48.1463	27453	97.931
LIC1749-24	500000	HF3.ROI.2bit	50.9779	47.7484	27457	97.9453
LIC1750-24	500000	HF3.ROI.2bit	50.4603	47.1262	27321	97.4601
LIC1751-24	500000	HF3.ROI.2bit	50.3799	47.0424	27525	98.1879
LIC1752-24	500000	HF3.ROI.2bit	50.5392	47.3648	27364	97.6135
LIC1754-24	500000	HF3.ROI.2bit	51.4192	48.0503	27436	97.8704
LIC1756-24	500000	HF3.ROI.2bit	51.2842	47.7201	27379	97.667
LIC1757-24	500000	HF3.ROI.2bit	51.9255	48.5059	27497	98.088
LIC1759-24	500000	HF3.ROI.2bit	51.0621	47.5801	27275	97.296
LIC1760-24	500000	HF3.ROI.2bit	50.8534	47.3152	27517	98.1593
LIC1762-24	500000	HF3.ROI.2bit	50.7594	47.3734	27398	97.7348
LIC1763-24	500000	HF3.ROI.2bit	46.8218	44.0929	27514	98.1486
LIC1764-24	500000	HF3.ROI.2bit	51.7153	48.1711	27508	98.1272
LIC1765-24	500000	HF3.ROI.2bit	50.5827	47.0699	27265	97.2604
LIC1766-24	500000	HF3.ROI.2bit	51.7555	48.4458	27293	97.3603
LIC1767-24	394796	HF3.ROI.2bit	52.8012	49.0749	27273	97.2889
LIC1767-24	394796	HF3.ROI.2bit	53.8642	50.2567	27088	96.629
LIC1768-24	500000	HF3.ROI.2bit	52.2299	48.8512	27388	97.6991
LIC1769-24	500000	HF3.ROI.2bit	51.4878	48.1444	27614	98.5053
LIC1770-24	500000	HF3.ROI.2bit	51.8909	48.7265	27554	98.2913
LIC1771-24	500000	HF3.ROI.2bit	44.1933	41.5839	27353	97.5743
LIC1772-24	500000	HF3.ROI.2bit	52.0714	48.6044	27551	98.2806
LIC1773-24	500000	HF3.ROI.2bit	48.6927	45.3653	27620	98.5267
LIC1774-24	500000	HF3.ROI.2bit	48.0054	45.0063	27518	98.1629
LIC1775-24	500000	HF3.ROI.2bit	50.6921	47.4186	27519	98.1664
NA11843	500000	HF3.ROI.2bit	49.7455	46.5478	27331	97.4958
NA12283A	500000	HF3.ROI.2bit	50.9419	47.6996	27492	98.0701
NA12283B	500000	HF3.ROI.2bit	50.7056	47.3952	27478	98.0202
NA18995	500000	HF3.ROI.2bit	51.1619	47.7285	27490	98.063
NTC1	340	3528311_Covered.2bit	0.00221349	0.00221349	2276	0.553215
NTC1	340	3528311_Covered.2bit	0.00370421	0.00370421	1658	0.403001
OncoSpan	500000	3528311_Covered.2bit	0.0418756	0.0418756	327929	79.708
RB23417	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.281821	0.116968	343763	56.6192
RB23418	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.286772	0.120662	345930	56.9761
RB23422	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.286043	0.124223	343709	56.6103
RB23423	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.283462	0.116258	347386	57.2159
RB23424	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.281218	0.120987	341894	56.3114
RB23431	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.286716	0.126252	338753	55.794
RB23432	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.275944	0.115601	339304	55.8848
RB23434	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.279072	0.118593	339873	55.9785
RB23436	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.282859	0.117842	342791	56.4591
RB23437	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.270614	0.106524	342011	56.3307
RB23438	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.283224	0.120247	344270	56.7027
RB23439	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.260979	0.101229	335386	55.2395
RB23440	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.279423	0.117114	344428	56.7287
RB23441	500000	Sudd.v4.arrh_str_hs.Covered.hg19.2bit	0.275215	0.112531	345319	56.8755
Undetermined	500000	3528311_Covered.2bit	0.0224963	0.0224963	173290	42.1207
